authors,year,phosphate_mean (mmol/24h),phosphate_sd (mmol/24h),Phosphorus_mean (mmol/24h),Phosphorus_sd (mmol/24h)
Welshman,1975,,,,
Welshman,1976,,,,
Wabner,1992,,,17.33936067,2.647723603
Traxer,2003,,,18.54698095,3.832741363
Thongprayoon,2022,6.268545135,3.132535195,,
Terris,2001,12.38272736,,,
Taylor and Curhan,2006,9.46604753,,,
Taylor and Curhan,2006,10.16099651,,,
Taylor and Curhan,2006,11.00335892,,,
Taylor and Curhan,2006,11.31924482,,,
Taylor and Curhan,2006,12.40378642,,,
Taylor and Curhan,2006,7.002137495,,,
Taylor and Curhan,2006,7.560202588,,,
Taylor and Curhan,2006,7.581261648,,,
Taylor and Curhan,2006,9.013277737,,,
Taylor and Curhan,2006,9.065925388,,,
Taylor and Curhan,2006,7.78132272,,,
Taylor and Curhan,2006,8.213033452,,,
Taylor and Curhan,2006,8.528919354,,,
Taylor and Curhan,2006,9.255456929,,,
Taylor and Curhan,2006,10.35052806,,,
Sweeney,2009,8.944835792,3.398932306,,
Stitchantrakul,2007,18.08,1.1,,
Stitchantrakul,2004,19.64,8.08,,
Stern,1980,,,,
Sorensen,2012,11.61957053,4.397893293,,
Shah,2005,,,,
Shah,2005,,,,
Semins,2010,,,,
Semins,2010,,,,
Rodgers,2009,,,,
Rodgers,2009,,,,
Rodgers,2009,,,,
Rodgers,2002,,,19.69,
Rodgers,2002,,,28.89,
Rodgers,1997,,,,
Prochaska,2018,,,23.89409106,7.749434937
Prochaska,2018,,,26.67097191,8.976428802
Prochaska,2018,,,33.09654504,9.686793671
Pigna,2014,,,21.92444301,7.200516629
Perinpam,2015,,,,
Parvin,2011,,,19.05069422,7.426541815
Pais,2007,,,,
Ogawa,2003,,,,
Nouvenne,2013,,,16.79044236,5.618340329
Nouvenne,2013,,,21.47239264,6.005812076
Miyake,2001,11.25132935,3.961735688,,
Michelacci,1989,,,,
Matsumoto,2006,,,25.75072651,7.684856313
Matin and Streem,2000,,,,
Marya,1979,,,,
Mai,2019,,,15.76,6.22
Mai,2019,,,16.34,5.97
Maalouf,2010,,,16.72586374,5.134000646
Maalouf,2010,,,16.79044236,6.102680013
Ma,2014,,,,
Lewandowski,2004,,,18.6,2.3
Lewandowski,2004,,,28.9,2.9
Lemann,1996,,,29.8,7.898
Lange,2014,9.39234082,3.285213381,,
Kuo,2003,,,,
Kinder,2002,,,,
Kinder,2002,,,,
Huang,2003,4.226813262,0.528351658,,
Hong,2012,19.33,5.32,,
Holmes,2001,,,,
Hess,1999,,,31.2,1
Herrel,2012,,,22.25702293,8.588957055
Grases,2015,,,26.74041876,12.29398482
Goodarzi,2012,,,,
Goldschmied,1975,,,,
Gettman,2005,,,19.59961253,6.651598321
Ferraro,2024,,,8.855334786,2.779795938
Ferraro,2023,10.82435691,3.16938855,,
Ferraro,2023,7.81291131,2.548146276,,
Ferraro,2023,8.707921365,2.611323457,,
Erwin,1994,,,,
Elkoushy,2014,6.938960314,1.329963884,,
Duffey,2011,,,,
Doizi,2016,,,18.63093316,5.747497578
Doizi,2016,,,16.8873103,5.134000646
Doenyas-Barak,2015,,,,
Doenyas-Barak,2015,,,,
Deng,2017,16.84,6.69,,
Deng,2017,16.17,5.11,,
Deng,2017,17.31,6.23,,
Deng,2017,19.12,6.35,,
Defoor,2005,,,,
Curhan,2001,8.665803245,2.979857009,,
Curhan,2001,9.002748207,3.295742911,,
Curhan,2001,11.9404871,2.600793927,,
Ciacci,2008,,,23.66806587,
Christie,1996,,,,
Chai,2004,,,,
Cameron,2006,,,,
Cameron,2006,,,,
Buchholz,1996,,,,
Baxmann,2003,,,,
Bataille,1991,1.9,0.08,,
Arrabal-Polo,2012,11.18710756,5.419613482,,
Arora,2017,8.739509956,2.737677817,,
Allie,2003,,,33.1,1.84
Abate,2004,,,,
Arrabal-Polo,2015,,,,
